2019-03-06 16:55:31,117 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-03-06 16:55:31,159 [     42]   INFO -        #com.intellij.idea.Main - IDE: PhpStorm (build #PS-191.5849.26, 27 Feb 2019 18:15) 
2019-03-06 16:55:31,159 [     42]   INFO -        #com.intellij.idea.Main - OS: Linux (4.15.0-45-generic, amd64) 
2019-03-06 16:55:31,159 [     42]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_202-release-1483-b31 (JetBrains s.r.o) 
2019-03-06 16:55:31,159 [     42]   INFO -        #com.intellij.idea.Main - JVM: 25.202-b31 (OpenJDK 64-Bit Server VM) 
2019-03-06 16:55:31,161 [     44]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms128m -Xmx750m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -Djdk.http.auth.tunneling.disabledSchemes="" -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -XX:MaxJavaStackTraceDepth=10000 -Dawt.useSystemAAFontSettings=lcd -Dsun.java2d.renderer=sun.java2d.marlin.MarlinRenderingEngine -XX:ErrorFile=/home/cmsstudent/java_error_in_PHPSTORM_%p.log -XX:HeapDumpPath=/home/cmsstudent/java_error_in_PHPSTORM.hprof -Didea.paths.selector=PhpStorm2019.1 -Djb.vmOptionsFile=/opt/PhpStorm-191.5849.26/bin/phpstorm64.vmoptions -Didea.platform.prefix=PhpStorm -Didea.jre.check=true 
2019-03-06 16:55:31,161 [     44]   INFO -        #com.intellij.idea.Main - ext: /opt/PhpStorm-191.5849.26/jre64/lib/ext: [meta-index, cldrdata.jar, sunec.jar, sunpkcs11.jar, jaccess.jar, sunjce_provider.jar, zipfs.jar, localedata.jar, nashorn.jar, dnsns.jar, jfxrt.jar] 
2019-03-06 16:55:31,161 [     44]   INFO -        #com.intellij.idea.Main - charsets: JNU=UTF-8 file=UTF-8 
2019-03-06 16:55:31,180 [     63]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 19 ms 
2019-03-06 16:55:32,825 [   1708]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (IDE-managed HiDPI) 
2019-03-06 16:55:32,826 [   1709]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2019-03-06 16:55:40,444 [   9327]   INFO - m.intellij.ui.mac.touchbar.NST - OS doesn't support touchbar, skip nst loading 
2019-03-06 16:55:47,971 [  16854]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor java-specific.xml 
2019-03-06 16:55:47,976 [  16859]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor javaee-specific.xml 
2019-03-06 16:55:48,072 [  16955]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-java-support.xml 
2019-03-06 16:55:48,074 [  16957]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-properties-support.xml 
2019-03-06 16:55:48,193 [  17076]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor js-nashorn-support.xml 
2019-03-06 16:55:48,332 [  17215]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 551 ms 
2019-03-06 16:56:05,252 [  34135]   INFO - .intellij.util.io.HttpRequests - Application is not initialized yet; Using default SSL configuration to connect to https://plugins.jetbrains.com/pluginManager/?action=download&id=ru.adelf.idea.dotenv&build=PS-191.5849.26&uuid=385a116f-1331-4be3-835b-8190f37cdf2c 
2019-03-06 16:56:09,320 [  38203]   INFO - .intellij.util.io.HttpRequests - Application is not initialized yet; Using default SSL configuration to connect to https://plugins.jetbrains.com/pluginManager/?action=download&id=org.editorconfig.editorconfigjetbrains&build=PS-191.5849.26&uuid=385a116f-1331-4be3-835b-8190f37cdf2c 
2019-03-06 16:56:16,637 [  45520]   INFO - .intellij.util.io.HttpRequests - Application is not initialized yet; Using default SSL configuration to connect to https://plugins.jetbrains.com/pluginManager/?action=download&id=com.dmarcotte.handlebars&build=PS-191.5849.26&uuid=385a116f-1331-4be3-835b-8190f37cdf2c 
2019-03-06 16:56:17,868 [  46751]   INFO - .intellij.util.io.HttpRequests - Application is not initialized yet; Using default SSL configuration to connect to https://plugins.jetbrains.com/pluginManager/?action=download&id=com.intellij.ideolog&build=PS-191.5849.26&uuid=385a116f-1331-4be3-835b-8190f37cdf2c 
2019-03-06 16:56:21,339 [  50222]   INFO - .intellij.idea.IdeaApplication - CPU cores: 2; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@6a81067c[Running, parallelism = 2, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@1129772a 
